iter	Passed	Remaining
405	7109	1471
406	7128	1453
407	7145	1436
408	7162	1418
409	7180	1401
410	7197	1383
411	7213	1365
412	7232	1348
413	7249	1330
414	7266	1313
415	7284	1295
416	7304	1278
417	7329	1262
418	7349	1245
419	7364	1227
420	7381	1209
421	7398	1192
422	7416	1174
423	7435	1157
424	7454	1140
425	7472	1122
426	7492	1105
427	7511	1088
428	7528	1070
429	7547	1053
430	7564	1035
431	7581	1017
432	7599	1000
433	7622	983
434	7645	966
435	7663	949
436	7680	931
437	7698	913
438	7715	896
439	7733	878
440	7750	861
441	7768	843
442	7785	826
443	7802	808
444	7819	790
445	7837	773
446	7855	755
447	7877	738
448	7894	720
449	7911	703
450	7929	685
451	7945	668
452	7961	650
453	7979	632
454	7996	615
455	8014	597
456	8031	579
457	8048	562
458	8065	544
459	8082	527
460	8099	509
461	8117	491
462	8133	474
463	8151	456
464	8168	439
465	8186	421
466	8203	404
467	8221	386
468	8238	368
469	8255	351
470	8275	333
471	8294	316
472	8310	298
473	8327	281
474	8345	263
475	8362	245
476	8380	228
477	8399	210
478	8416	193
479	8433	175
480	8450	158
481	8468	140
482	8485	122
483	8501	105
484	8519	87
485	8540	70
486	8559	52
487	8580	35
488	8597	17
489	8613	0
