iter	RMSE
0	23.7946358
1	21.15512891
2	19.0917869
3	17.51782702
4	16.34898128
5	15.47818871
6	14.84122893
7	14.38159869
8	14.05313652
9	13.80833219
10	13.63639142
11	13.51459904
12	13.42927963
13	13.36601626
14	13.32108937
15	13.28767848
16	13.26416409
17	13.24559208
18	13.2321942
19	13.22163729
20	13.21276735
21	13.2053795
22	13.19992373
23	13.19452227
24	13.18881067
25	13.18402751
26	13.18117544
27	13.17691409
28	13.17228124
29	13.1672944
30	13.16376771
31	13.16158438
32	13.15769353
33	13.15520265
34	13.1517795
35	13.14796098
36	13.14458899
37	13.14215156
38	13.1391326
39	13.13721755
40	13.13514316
41	13.1322318
42	13.12909458
43	13.12701009
44	13.12459678
45	13.12239445
46	13.11832414
47	13.11529004
48	13.11305302
49	13.11075326
50	13.1084689
51	13.10615415
52	13.10153928
53	13.0994144
54	13.09581216
55	13.09372589
56	13.09046248
57	13.08857228
58	13.08686428
59	13.08360069
60	13.08102502
61	13.07750176
62	13.07483305
63	13.07241834
64	13.07217923
65	13.07038081
66	13.06748051
67	13.06474381
68	13.06206556
69	13.06029783
70	13.05854991
71	13.05720439
72	13.05609051
73	13.05473049
74	13.05231406
75	13.05034819
76	13.04687478
77	13.04456331
78	13.04263498
79	13.04045729
80	13.03868133
81	13.03679554
82	13.03484449
83	13.03343605
84	13.03190613
85	13.02927413
86	13.0261417
87	13.02531488
88	13.02345059
89	13.02116481
90	13.01817357
91	13.01484072
92	13.013086
93	13.01025388
94	13.00861613
95	13.00653992
96	13.0045066
97	13.00299517
98	13.00093632
99	12.99967055
100	12.99779806
101	12.99596401
102	12.99438859
103	12.99238676
104	12.98903183
105	12.9871475
106	12.98564811
107	12.9839685
108	12.98288747
109	12.98124427
110	12.97943178
111	12.97651592
112	12.97516403
113	12.97322682
114	12.97182321
115	12.96919245
116	12.96608268
117	12.964811
118	12.96317639
119	12.96069425
120	12.95817409
121	12.9569519
122	12.95522107
123	12.95426707
124	12.95209407
125	12.94969428
126	12.94735341
127	12.94441908
128	12.94161705
129	12.93868263
130	12.93675739
131	12.93558947
132	12.93275822
133	12.93085902
134	12.92945094
135	12.92782509
136	12.92461467
137	12.92337464
138	12.92077039
139	12.91850425
140	12.91755723
141	12.91640269
142	12.91467518
143	12.91305231
144	12.91142519
145	12.91037532
146	12.90843196
147	12.90680484
148	12.90525031
149	12.903649
150	12.9007743
151	12.89860371
152	12.89745623
153	12.89470131
154	12.89398303
155	12.89083736
156	12.88846525
157	12.88726393
158	12.8851901
159	12.88322894
160	12.88129234
161	12.8787802
162	12.87768124
163	12.87546132
164	12.87381576
165	12.87157896
166	12.86961033
167	12.86820736
168	12.86695003
169	12.86404187
170	12.86200047
171	12.86056759
172	12.85834214
173	12.85634692
174	12.85475823
175	12.85362648
176	12.85067018
177	12.84881408
178	12.84723111
179	12.84571614
180	12.84315046
181	12.84106938
182	12.84034673
183	12.83843734
184	12.83727965
185	12.83581149
186	12.83491195
187	12.8331876
188	12.83074661
189	12.82952011
190	12.82901373
191	12.82804143
192	12.82608216
193	12.82423116
194	12.82223535
195	12.82110939
196	12.81988656
197	12.81721619
198	12.81581263
199	12.81368273
200	12.81128083
201	12.80901483
202	12.8079759
203	12.80560881
204	12.80442513
205	12.80346639
206	12.80211182
207	12.79997972
208	12.79756711
209	12.79484585
210	12.79349394
211	12.79193742
212	12.79050888
213	12.78912698
214	12.78624815
215	12.78375267
216	12.78277903
217	12.78123189
218	12.77977398
219	12.77906784
220	12.77748999
221	12.77608822
222	12.77409061
223	12.77208932
224	12.7693763
225	12.76828619
226	12.76697719
227	12.7655292
228	12.76366358
229	12.76270793
230	12.75978895
231	12.75827385
232	12.75719183
233	12.75568506
234	12.7539445
235	12.75241106
236	12.75093992
237	12.74991585
238	12.74831048
239	12.74685244
240	12.74611832
241	12.7450245
242	12.74366915
243	12.74263867
244	12.74060955
245	12.73963144
246	12.73801453
247	12.73726308
248	12.73628001
249	12.73569085
250	12.73424345
251	12.73346492
252	12.73151333
253	12.73012282
254	12.72692231
255	12.72614795
256	12.72426871
257	12.72241883
258	12.72119245
259	12.71935203
260	12.71661645
261	12.7157159
262	12.715159
263	12.71355027
264	12.71230428
265	12.71124922
266	12.70922478
267	12.70779625
268	12.70667934
269	12.7055007
270	12.7040645
271	12.70163036
272	12.7011725
273	12.69994855
274	12.69899227
275	12.69824238
276	12.69674815
277	12.69524242
278	12.69280917
279	12.69108245
280	12.68956926
281	12.68760198
282	12.68704062
283	12.68422626
284	12.68157523
285	12.68011302
286	12.67873965
287	12.67787665
288	12.67635775
289	12.67518746
290	12.67434973
291	12.67317058
292	12.67154441
293	12.6703112
294	12.6678962
295	12.66565833
296	12.66281583
297	12.66140865
298	12.66099263
299	12.65799234
300	12.65681786
301	12.65551138
302	12.65379677
303	12.65314476
304	12.65204248
305	12.65015702
306	12.64795247
307	12.64637281
308	12.64523831
309	12.64245674
310	12.64100918
311	12.63898691
312	12.6378925
313	12.63650635
314	12.63590052
315	12.63426333
316	12.6314712
317	12.63043084
318	12.62955158
319	12.6280728
320	12.62727052
321	12.6262836
322	12.62447457
323	12.62185777
324	12.62010251
325	12.61903953
326	12.61815414
327	12.61664929
328	12.61570349
329	12.61476018
330	12.61352076
331	12.61251131
332	12.60990872
333	12.60845555
334	12.60751495
335	12.60616213
336	12.6050087
337	12.60263501
338	12.60022088
339	12.59902488
340	12.59806369
341	12.59769531
342	12.5952281
343	12.59357816
344	12.59176337
345	12.59034531
346	12.58921996
347	12.58796179
348	12.58717974
349	12.58627595
350	12.58420395
351	12.58280705
352	12.58151434
353	12.57861605
354	12.57728621
355	12.57550379
356	12.5749325
357	12.57361948
358	12.57296184
359	12.57132709
360	12.57041915
361	12.56836565
362	12.56619355
363	12.56427905
364	12.56185467
365	12.56047807
366	12.55891543
367	12.55713451
368	12.55489532
369	12.55297627
370	12.55149203
371	12.5505275
372	12.55001492
373	12.54859059
374	12.54658668
375	12.54487747
376	12.54199375
377	12.54146285
378	12.54029826
379	12.53899461
